Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Month_name,Time,Hour,Local_Authority_District,Local_Authority_Highway,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201501CW11076,528460,181100,-0.150129,51.514228,1,3,1,1,2015-07-22,4,July,15:54:00,15,1,E09000033,3,40,6,30,6,2,3,40,0,5,1,1,1,0,0,1,1,E01033595
201501CW11078,528870,177930,-0.145381,51.485647,1,3,2,1,2015-07-14,3,July,20:00:00,20,1,E09000033,3,3212,6,30,3,4,5,0,0,4,4,2,2,0,0,1,2,E01004669
201501CW11081,530080,180610,-0.126977,51.509454,1,3,2,1,2015-07-25,7,July,19:00:00,19,1,E09000033,4,404,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01004734
201501CW11082,528430,178090,-0.151656,51.487185,1,3,1,2,2015-07-23,5,July,14:00:00,14,12,E09000020,4,313,6,30,3,2,3,3216,0,5,1,1,1,0,0,1,1,E01033597
201501CW11084,527370,181800,-0.165576,51.520765,1,3,2,1,2015-07-22,4,July,13:51:00,13,1,E09000033,3,501,3,30,3,4,3,501,0,0,1,1,1,0,0,1,1,E01033603
201501CW11086,527130,182070,-0.168936,51.523246,1,3,1,1,2015-07-24,6,July,13:30:00,13,1,E09000033,6,0,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01033602
201501CW11087,527050,181680,-0.170229,51.519759,1,2,1,1,2015-07-27,2,July,02:04:00,2,1,E09000033,3,5,3,30,3,2,3,404,0,5,4,1,1,0,0,1,1,E01033594
201501CW11088,528530,179580,-0.149675,51.500552,1,3,3,1,2015-07-25,7,July,22:55:00,22,1,E09000033,3,302,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01004690
201501CW11089,525610,181750,-0.190948,51.52071,1,3,2,1,2015-07-26,1,July,19:10:00,19,1,E09000033,6,0,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01032512
201501CW11090,528590,179510,-0.148836,51.49991,1,3,2,1,2015-07-24,6,July,18:54:00,18,1,E09000033,3,302,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01004690
