Accident_Index,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Month_name,Time,Hour,Weather_Conditions,Road_Surface_Conditions,Speed_limit
201501LX50075,-0.116404,51.461804,3,2,1,2015-02-01,1,February,07:05:00,7,1,1,30
201501LX50076,-0.123044,51.471892,3,1,1,2015-02-01,1,February,01:10:00,1,2,2,30
201501LX50077,-0.130447,51.421113,3,2,1,2015-01-14,4,January,11:03:00,11,1,1,30
201501LX50078,-0.126565,51.484359,3,2,2,2015-02-01,1,February,05:40:00,5,1,2,30
201501LX50079,-0.111501,51.482948,3,2,1,2015-01-18,1,January,19:44:00,19,1,1,30
201501LX50080,-0.10587,51.438074,3,2,1,2015-01-27,3,January,19:10:00,19,1,1,30
201501LX50081,-0.113965,51.465092,3,1,1,2015-01-09,6,January,13:10:00,13,1,1,30
201501LX50082,-0.127761,51.423498,3,2,1,2015-01-29,5,January,20:26:00,20,1,1,30
201501LX50083,-0.105812,51.436005,3,2,1,2015-01-31,7,January,21:01:00,21,1,1,30
201501LX50084,-0.103279,51.455478,3,1,1,2015-01-31,7,January,19:32:00,19,2,2,30
201501LX50085,-0.111937,51.461912,3,1,1,2015-01-28,4,January,12:13:00,12,5,2,30
201501LX50086,-0.12882,51.432777,3,1,1,2015-01-19,2,January,17:00:00,17,1,1,30
201501LX50087,-0.103138,51.465817,3,1,1,2015-02-02,2,February,01:05:00,1,1,1,30
201501LX50088,-0.149186,51.466373,2,1,1,2015-01-29,5,January,04:00:00,4,1,1,30
201501LX50089,-0.105734,51.437892,3,2,1,2015-01-31,7,January,21:00:00,21,1,1,30
201501LX50090,-0.115058,51.463042,3,2,1,2015-02-03,3,February,19:47:00,19,2,2,30
201501LX50091,-0.120704,51.500811,3,3,1,2015-02-03,3,February,20:12:00,20,1,2,30
201501LX50092,-0.121005,51.426897,3,2,1,2015-02-01,1,February,07:02:00,7,1,1,30
201501LX50094,-0.135164,51.41831,3,2,1,2015-01-29,5,January,18:00:00,18,2,2,30
201501LX50095,-0.104827,51.466743,3,3,2,2015-02-06,6,February,09:14:00,9,1,1,30
201501LX50096,-0.113523,51.482801,3,2,1,2015-02-06,6,February,19:20:00,19,1,1,30
201501LX50097,-0.117083,51.466311,3,2,1,2015-02-07,7,February,22:15:00,22,1,1,30
201501LX50098,-0.092481,51.469331,3,2,2,2015-02-07,7,February,17:50:00,17,1,1,30
201501LX50099,-0.123402,51.477204,3,2,1,2015-02-06,6,February,12:06:00,12,1,1,30
201501LX50102,-0.111941,51.461822,3,2,1,2015-01-27,3,January,09:00:00,9,2,2,30
201501LX50103,-0.140491,51.414618,3,2,1,2015-02-07,7,February,10:40:00,10,1,1,30
201501LX50104,-0.119555,51.4552,3,2,1,2015-02-06,6,February,09:40:00,9,1,1,30
201501LX50105,-0.113186,51.504917,3,2,1,2015-02-08,1,February,02:01:00,2,1,1,30
201501LX50106,-0.116404,51.461804,3,2,1,2015-02-03,3,February,19:20:00,19,2,2,30
201501LX50107,-0.098635,51.463316,2,2,1,2015-02-09,2,February,21:38:00,21,1,1,30
201501LX50108,-0.124985,51.470215,3,1,1,2015-01-28,4,January,06:56:00,6,1,1,30
201501LX50109,-0.116154,51.460901,3,2,1,2015-02-09,2,February,07:40:00,7,1,1,30
201501LX50110,-0.125848,51.459707,3,2,1,2015-02-02,2,February,19:10:00,19,1,1,30
201501LX50112,-0.129075,51.45823,3,2,1,2015-01-31,7,January,11:50:00,11,1,2,30
201501LX50113,-0.116942,51.466219,3,2,1,2015-01-29,5,January,14:55:00,14,2,2,30
201501LX50114,-0.122022,51.451193,3,2,1,2015-02-02,2,February,08:25:00,8,1,1,30
201501LX50115,-0.128497,51.465325,3,2,1,2015-02-03,3,February,13:10:00,13,1,1,30
201501LX50116,-0.124841,51.470213,3,2,1,2015-01-16,6,January,17:39:00,17,1,2,30
